Optimization Area,AWS Redshift,Azure Synapse,Google BigQuery,Snowflake,Teradata
Data Distribution,KEY/ALL/EVEN distribution styles,"HASH, ROUND_ROBIN, REPLICATE",Automatic (not user-defined),"Automatic, user doesn't control","Primary Index (UPI/NUPI), Join Index, Secondary Index"
Partitioning,Sort Keys & Table Partitioning (limited),Partitioning with RANGE or LIST,Partitioning on ingestion time or column,"Automatic micro-partitioning, clustering for control",Partitioned Primary Index (PPI)
Indexing,No traditional indexes; relies on sort/dist keys,"Clustered Columnstore Index (CCI), Clustered Index",No indexes; use clustering for optimization,No indexes; clustering keys supported,"Secondary Indexes, Join Indexes"
Statistics Management,ANALYZE command required manually,UPDATE STATISTICS manually,Automatic statistics collection,Managed automatically,COLLECT STATISTICS required
Query Optimization,"Predicate pushdown, avoid SELECT *, JOIN optimization","Data movement minimization, join pruning, push filters early","Filter early, avoid SELECT *, use approximate functions","Pruning, result cache, filter pushdown, join elimination","Join planning, derived table reuse, use of Volatile Tables"
Compression,Columnar compression with encoding,"Columnar storage, built-in compression","Automatic, columnar format (Capacitor)",Automatic on columnar storage,"Block-level compression, multi-value compression"
Materialized Views / Caching,Materialized Views supported,Materialized Views available,Caching enabled for 24 hours,Automatic result and metadata cache,"Yes, using join indexes or summary tables"
Concurrency Scaling,Concurrency scaling available,"Yes, with workload isolation via resource classes",High concurrency by design,Multi-cluster warehouse for scaling,Optimized AMP parallelism
Cost-Based Optimization,"Yes, via Redshift Optimizer",Cost-based with statistics support,"Yes, with dynamic optimization","Yes, with auto tuning and pruning","Yes, depends heavily on statistics"
Monitoring Tools,"Query logs, STL/SVL tables, Advisor","Synapse Studio, DMVs, EXPLAIN","Query Plan UI, INFORMATION_SCHEMA tables","Query History, Query Profile","DBQL, ResUsage, Viewpoint, EXPLAIN"
,,,,,
Drop zones ,,,,,
Platform,Redshift,Synapse,BigQuery,Snowflake,Teradata
Cloud-Native Drop Zone,S3,ADLS/Blob,GCS,Internal/External Stage,No native drop zone
Auto-Ingest Capable,Via Lambda/SNS,Event Grid + Synapse Pipelines,Event trigger + Cloud Function,Yes (Snowpipe),Limited
Best for,Batch Loads,Structured data loading,"Serverless, scalable loading","Fast, auto-scaling ingestion",Traditional ETL/BI stacks
,,,,,
schema evolution,Redshift,Synapse,BigQuery,Snowflake,Teradata
? Add Columns,?? Supported manually,?? Supported manually,?? Supported during load and via UI/API,?? Supported via ALTER TABLE,?? Supported via ALTER TABLE
? Drop Columns,?? Not supported directly (workaround via CREATE TABLE AS),?? Not directly supported in dedicated SQL pool,?? Fully supported,?? Supported via ALTER TABLE DROP COLUMN,"?? Not directly, requires table recreation"
